        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
    117   4.729404247088516E+08    615   -418    194    246    195    247
    118   4.729404247088516E+08    202   -424    590    362    591    363
    119   4.729404247088516E+08    467   -100    241    594    242    595
    120   4.729404247088516E+08    295   -373    486    384    487    385
    121   4.729404247088516E+08    446   -311    323    399    324    400
    122   4.729404247088516E+08    384   -604    469    137    470    138
    123   4.729404272161717E+08    384   -482    433    253    434    254
    124   4.729404272161717E+08    381   -158    340    564    341    565
    125   4.729404272161717E+08    669   -549    180    105    181    106
    126   4.729404272161717E+08    426   -267    329    447    330    448
    127   4.729404272161717E+08    766   -292     12    322     13    323
    128   4.729404272161717E+08    460   -153    264    545    265    546
    129   4.729404272161717E+08    452   -392    341    320    342    321
    130   4.729404272161717E+08    767   -483     67    139     68    140
    131   4.729404272161717E+08    326   -434    474    317    475    318
    132   4.729404297235317E+08    416   -127    297    584    298    585
    133   4.729404297235317E+08    746   -558    109     74    110     75
    134   4.729404297235317E+08    771   -414     43    204     44    205
    135   4.729404297235317E+08    362   -450    445    291    446    292
    136   4.729404297235317E+08    412   -636    452     98    453     99
    137   4.729404322308117E+08    618   -204    127    450    128    451
    138   4.729404322308117E+08    459   -154    264    545    265    546
    139   4.729404322308117E+08    368   -169    356    557    357    558
    140   4.729404322308117E+08    290   -229    448    523    449    524
    141   4.729404347381317E+08    462   -162    264    536    265    537
    142   4.729404347381317E+08    413   -159    309    553    310    554
    143   4.729404347381317E+08    337   -535    493    217    494    218
    144   4.729404347381317E+08    277   -585    565    186    566    187
    145   4.729404372454516E+08    343   -303    419    436    420    437
    146   4.729404372454516E+08    377   -352    401    380    402    381
    147   4.729404372454516E+08    656   -281    113    365    114    366
    148   4.729404372454516E+08    692   -213     59    419     60    420
    149   4.729404397527717E+08    708   -566    148     77    149     78
    150   4.729404397527717E+08    695   -497    140    147    141    148
    151   4.729404397527717E+08    690   -198     56    434     57    435
    152   4.729404397527717E+08    431   -618    427    109    428    110
    153   4.729404397527717E+08    766   -367     34    250     35    251
    154   4.729404422601317E+08    667   -241     91    400     92    401
    155   4.729404422601317E+08    487   -518    345    189    346    190
    156   4.729404422601317E+08    434   -233    311    476    312    477
    157   4.729404422601317E+08    588   -149    139    511    140    512
    158   4.729404422601317E+08    300   -364    478    391    479    392
    159   4.729404422601317E+08    262   -511    558    262    559    263
    160   4.729404422601317E+08    476   -545    363    166    364    167
    161   4.729404447674117E+08    413   -159    309    553    310    554
    162   4.729404447674117E+08    432   -618    427    109    428    110
    163   4.729404447674117E+08    446   -125    268    576    269    577
    164   4.729404447674117E+08    451   -409    347    303    348    304
    165   4.729404447674117E+08    589   -588    268     91    269     92
    166   4.729404472747316E+08    323   -273    429    471    430    472
    167   4.729404472747316E+08    405   -421    395    305    396    306
    168   4.729404472747316E+08    741   -458     84    170     85    171
    169   4.729404497820717E+08    486   -518    345    189    346    190
    170   4.729404497820717E+08    334   -189    394    548    395    549
    171   4.729404522893917E+08    736   -515    106    117    107    118
    172   4.729404522893917E+08    710   -595    155     49    156     50
    173   4.729404522893917E+08    310   -331    458    419    459    420
    174   4.729404522893917E+08    303   -646    558    121    559    122
    175   4.729404522893917E+08    445   -311    323    399    324    400
    176   4.729404522893917E+08    741   -458     84    170     85    171
    177   4.729404522893917E+08    700   -497    135    145    136    146
    178   4.729404522893917E+08    724   -315     58    312     59    313
    179   4.729404547966917E+08    446   -562    397    158    398    159
    180   4.729404547966917E+08    462   -157    262    541    263    542
    181   4.729404547966917E+08    381   -693    497     53    498     54
    182   4.729404547966917E+08    457   -208    282    493    283    494
    183   4.729404547966917E+08    280   -243    461    512    462    513
    184   4.729404547966917E+08    450   -366    335    344    336    345
    185   4.729404547966917E+08    289   -229    448    523    449    524
    186   4.729404573040117E+08    328   -252    418    489    419    490
    187   4.729404573040117E+08    322   -472    489    281    490    282
    188   4.729404573040117E+08    367   -169    356    557    357    558
    189   4.729404598113316E+08    226   -282    525    490    526    491
    190   4.729404598113316E+08    615   -372    179    290    180    291
    191   4.729404598113316E+08    218   -360    555    419    556    420
    192   4.729404598113316E+08    753   -258     14    358     15    359
    193   4.729404598113316E+08    313   -426    484    327    485    328
    194   4.729404623186717E+08    509   -668    368     39    369     40
    195   4.729404648259917E+08    432   -618    427    109    428    110
    196   4.729404648259917E+08    374   -362    407    370    408    371
    197   4.729404648259917E+08    693   -256     70    378     71    379
    198   4.729404673332917E+08    333   -582    511    173    512    174
    199   4.729404673332917E+08    380   -158    340    564    341    565
    200   4.729404673332917E+08    657   -535    187    122    188    123
    201   4.729404698406116E+08    803   -415     12    193     13    194
    202   4.729404698406116E+08    513   -361    274    330    275    331
    203   4.729404698406116E+08    289   -229    448    523    449    524
    204   4.729404698406116E+08    670   -562    183     92    184     93
    205   4.729404698406116E+08    603   -215    144    443    145    444
    206   4.729404698406116E+08    402   -548    434    184    435    185
    207   4.729404698406116E+08    348   -543    485    205    486    206
    208   4.729404723479317E+08    619   -228    133    427    134    428
    209   4.729404723479317E+08    610   -626    259     49    260     50
    210   4.729404723479317E+08    618   -204    127    450    128    451
    211   4.729404748552517E+08    401   -624    458    112    459    113
    212   4.729404748552517E+08    297   -433    501    326    502    327
    213   4.729404748552517E+08    596   -129    126    528    127    529
    214   4.729404748552517E+08    359   -445    445    296    446    297
    215   4.729404748552517E+08    348   -544    485    205    486    206
    216   4.729404748552517E+08    615   -371    179    290    180    291
    217   4.729404748552517E+08    235   -306    523    466    524    467
    218   4.729404773626117E+08    604   -421    204    247    205    248
    219   4.729404773626117E+08    313   -427    484    327    485    328
    220   4.729404773626117E+08    657   -535    187    122    188    123
    221   4.729404773626117E+08    636   -611    230     55    231     56
    222   4.729404773626117E+08    577   -267    184    402    185    403
    223   4.729404798698917E+08    533   -626    333     71    334     72
    224   4.729404798698917E+08    294   -373    486    384    487    385
    225   4.729404823772116E+08    297   -433    501    326    502    327
    226   4.729404823772116E+08    715   -230     41    396     42    397
    227   4.729404848845317E+08    478   -554    364    156    365    157
    228   4.729404848845317E+08    450   -366    335    344    336    345
    229   4.729404848845317E+08    595   -129    126    528    127    529
    230   4.729404848845317E+08    486   -518    345    189    346    190
    231   4.729404873918717E+08    322   -423    474    327    475    328
    232   4.729404873918717E+08    290   -212    442    538    443    539
    233   4.729404873918717E+08    269   -428    526    339    527    340
    234   4.729404873918717E+08    617   -203    127    450    128    451
    235   4.729404873918717E+08    781   -524     66     95     67     96
    236   4.729404873918717E+08    367   -169    356    557    357    558
    237   4.729404898991717E+08    607   -124    114    529    115    530
    238   4.729404898991717E+08    451   -521    380    196    381    197
    239   4.729404924064917E+08    434   -233    311    476    312    477
    240   4.729404924064917E+08    527   -508    303    186    304    187
    241   4.729404924064917E+08    294   -591    550    176    551    177
    242   4.729404924064917E+08    613   -639    259     35    260     36
    243   4.729404924064917E+08    294   -646    566    123    567    124
    244   4.729404924064917E+08    680   -172     58    462     59    463
    245   4.729404924064917E+08    254   -291    499    474    500    475
    246   4.729404924064917E+08    291   -443    509    317    510    318
    247   4.729404949138116E+08    299   -364    478    391    479    392
    248   4.729404949138116E+08    468   -318    303    385    304    386
    249   4.729404949138116E+08    753   -510     88    117     89    118
    250   4.729404949138116E+08    209   -326    553    454    554    455
    251   4.729404974211518E+08    682   -326    101    314    102    315
    252   4.729404974211518E+08    215   -327    547    451    548    452
    253   4.729404999284317E+08    404   -422    395    305    396    306
    254   4.729404999284317E+08    472   -166    255    529    256    530
    255   4.729404999284317E+08    377   -352    401    380    402    381
    256   4.729405024357717E+08    459   -154    264    545    265    546
    257   4.729405024357717E+08    765   -292     12    322     13    323
    258   4.729405024357717E+08    633   -279    134    373    135    374
    259   4.729405024357717E+08    399   -311    367    412    368    413
    260   4.729405024357717E+08    617   -411    188    252    189    253
    261   4.729405279781234E+08     28   -109    155    552    156    553
    262   4.729405279781234E+08    -61   -234    277    458    278    459
    263   4.729405279781234E+08   -201   -439    472    304    473    305
    264   4.729405279781234E+08     -4   -442    285    243    286    244
